current_i: 0, current_j: -9
current_i: -155, current_j: -59
current_i: -158, current_j: -59
current_i: -158, current_j: -70
current_i: -161, current_j: -70
current_i: -161, current_j: -61
current_i: -168, current_j: -61
current_i: -168, current_j: -54
current_i: -176, current_j: -54
current_i: -176, current_j: -51
current_i: -172, current_j: -51
current_i: -172, current_j: -41
current_i: -168, current_j: -41
current_i: -168, current_j: -51
current_i: -163, current_j: -51
current_i: -163, current_j: -44
current_i: -161, current_j: -44
current_i: -161, current_j: -38
current_i: -172, current_j: -38
current_i: -172, current_j: -33
current_i: -181, current_j: -33
current_i: -181, current_j: -26
current_i: -175, current_j: -26
current_i: -175, current_j: -30
current_i: -164, current_j: -30
current_i: -164, current_j: -26
current_i: -161, current_j: -26
current_i: -161, current_j: -21
current_i: -170, current_j: -21
current_i: -170, current_j: -18
current_i: -176, current_j: -18
current_i: -176, current_j: -13
current_i: -179, current_j: -13
current_i: -179, current_j: -21
current_i: -186, current_j: -21
current_i: -186, current_j: -13
current_i: -189, current_j: -13
current_i: -189, current_j: -10
current_i: -176, current_j: -10
current_i: -176, current_j: -4
current_i: -183, current_j: -4
current_i: -183, current_j: 0
current_i: -190, current_j: 0
current_i: -190, current_j: 8
current_i: -197, current_j: 8
current_i: -197, current_j: 11
current_i: -209, current_j: 11
current_i: -209, current_j: 19
current_i: -221, current_j: 19
current_i: -221, current_j: 27
current_i: -225, current_j: 27
current_i: -225, current_j: 38
current_i: -229, current_j: 38
current_i: -229, current_j: 44
current_i: -224, current_j: 44
current_i: -224, current_j: 52
current_i: -216, current_j: 52
current_i: -216, current_j: 58
current_i: -229, current_j: 58
current_i: -229, current_j: 63
current_i: -220, current_j: 63
current_i: -220, current_j: 70
current_i: -215, current_j: 70
current_i: -215, current_j: 76
current_i: -209, current_j: 76
current_i: -209, current_j: 82
current_i: -205, current_j: 82
current_i: -205, current_j: 87
current_i: -196, current_j: 87
current_i: -196, current_j: 93
current_i: -207, current_j: 93
current_i: -207, current_j: 101
current_i: -196, current_j: 101
current_i: -196, current_j: 104
current_i: -205, current_j: 104
current_i: -205, current_j: 111
current_i: -202, current_j: 111
current_i: -202, current_j: 107
current_i: -192, current_j: 107
current_i: -192, current_j: 98
current_i: -188, current_j: 98
current_i: -188, current_j: 90
current_i: -192, current_j: 90
current_i: -192, current_j: 82
current_i: -184, current_j: 82
current_i: -184, current_j: 91
current_i: -178, current_j: 91
current_i: -178, current_j: 96
current_i: -185, current_j: 96
current_i: -185, current_j: 101
current_i: -180, current_j: 101
current_i: -180, current_j: 112
current_i: -185, current_j: 112
current_i: -185, current_j: 116
current_i: -188, current_j: 116
current_i: -188, current_j: 119
current_i: -196, current_j: 119
current_i: -196, current_j: 128
current_i: -191, current_j: 128
current_i: -191, current_j: 136
current_i: -196, current_j: 136
current_i: -196, current_j: 140
current_i: -206, current_j: 140
current_i: -206, current_j: 131
current_i: -209, current_j: 131
current_i: -209, current_j: 119
current_i: -215, current_j: 119
current_i: -215, current_j: 129
current_i: -221, current_j: 129
current_i: -221, current_j: 126
current_i: -219, current_j: 126
current_i: -219, current_j: 115
current_i: -208, current_j: 115
current_i: -208, current_j: 110
current_i: -212, current_j: 110
current_i: -212, current_j: 101
current_i: -221, current_j: 101
current_i: -221, current_j: 96
current_i: -229, current_j: 96
current_i: -229, current_j: 100
current_i: -235, current_j: 100
current_i: -235, current_j: 104
current_i: -241, current_j: 104
current_i: -241, current_j: 113
current_i: -235, current_j: 113
current_i: -235, current_j: 121
current_i: -241, current_j: 121
current_i: -241, current_j: 128
current_i: -245, current_j: 128
current_i: -245, current_j: 138
current_i: -254, current_j: 138
current_i: -254, current_j: 145
current_i: -264, current_j: 145
current_i: -264, current_j: 149
current_i: -271, current_j: 149
current_i: -271, current_j: 151
current_i: -278, current_j: 151
current_i: -278, current_j: 143
current_i: -275, current_j: 143
current_i: -275, current_j: 141
current_i: -262, current_j: 141
current_i: -262, current_j: 133
current_i: -269, current_j: 133
current_i: -269, current_j: 138
current_i: -273, current_j: 138
current_i: -273, current_j: 133
current_i: -278, current_j: 133
current_i: -278, current_j: 125
current_i: -268, current_j: 125
current_i: -268, current_j: 117
current_i: -278, current_j: 117
current_i: -278, current_j: 111
current_i: -273, current_j: 111
current_i: -273, current_j: 104
current_i: -266, current_j: 104
current_i: -266, current_j: 98
current_i: -278, current_j: 98
current_i: -278, current_j: 93
current_i: -282, current_j: 93
current_i: -282, current_j: 87
current_i: -285, current_j: 87
current_i: -285, current_j: 99
current_i: -290, current_j: 99
current_i: -290, current_j: 102
current_i: -293, current_j: 102
current_i: -293, current_j: 106
current_i: -298, current_j: 106
current_i: -298, current_j: 103
current_i: -302, current_j: 103
current_i: -302, current_j: 97
current_i: -297, current_j: 97
current_i: -297, current_j: 92
current_i: -302, current_j: 92
current_i: -302, current_j: 87
current_i: -309, current_j: 87
current_i: -309, current_j: 93
current_i: -314, current_j: 93
current_i: -314, current_j: 101
current_i: -322, current_j: 101
current_i: -322, current_j: 104
current_i: -317, current_j: 104
current_i: -317, current_j: 109
current_i: -310, current_j: 109
current_i: -310, current_j: 113
current_i: -303, current_j: 113
current_i: -303, current_j: 115
current_i: -298, current_j: 115
current_i: -298, current_j: 123
current_i: -292, current_j: 123
current_i: -292, current_j: 130
current_i: -296, current_j: 130
current_i: -296, current_j: 137
current_i: -300, current_j: 137
current_i: -300, current_j: 130
current_i: -306, current_j: 130
current_i: -306, current_j: 138
current_i: -309, current_j: 138
current_i: -309, current_j: 140
current_i: -314, current_j: 140
current_i: -314, current_j: 143
current_i: -322, current_j: 143
current_i: -322, current_j: 151
current_i: -329, current_j: 151
current_i: -329, current_j: 158
current_i: -333, current_j: 158
current_i: -333, current_j: 162
current_i: -329, current_j: 162
current_i: -329, current_j: 170
current_i: -324, current_j: 170
current_i: -324, current_j: 173
current_i: -316, current_j: 173
current_i: -316, current_j: 178
current_i: -311, current_j: 178
current_i: -311, current_j: 187
current_i: -308, current_j: 187
current_i: -308, current_j: 183
current_i: -298, current_j: 183
current_i: -298, current_j: 179
current_i: -293, current_j: 179
current_i: -293, current_j: 173
current_i: -298, current_j: 173
current_i: -298, current_j: 166
current_i: -291, current_j: 166
current_i: -291, current_j: 160
current_i: -287, current_j: 160
current_i: -287, current_j: 172
current_i: -278, current_j: 172
current_i: -278, current_j: 160
current_i: -271, current_j: 160
current_i: -271, current_j: 165
current_i: -266, current_j: 165
current_i: -266, current_j: 171
current_i: -259, current_j: 171
current_i: -259, current_j: 176
current_i: -248, current_j: 176
current_i: -248, current_j: 187
current_i: -245, current_j: 187
current_i: -245, current_j: 184
current_i: -235, current_j: 184
current_i: -235, current_j: 177
current_i: -245, current_j: 177
current_i: -245, current_j: 173
current_i: -237, current_j: 173
current_i: -237, current_j: 169
current_i: -230, current_j: 169
current_i: -230, current_j: 159
current_i: -224, current_j: 159
current_i: -224, current_j: 161
current_i: -219, current_j: 161
current_i: -219, current_j: 173
current_i: -209, current_j: 173
current_i: -209, current_j: 184
current_i: -203, current_j: 184
current_i: -203, current_j: 188
current_i: -194, current_j: 188
current_i: -194, current_j: 194
current_i: -190, current_j: 194
current_i: -190, current_j: 200
current_i: -177, current_j: 200
current_i: -177, current_j: 195
current_i: -171, current_j: 195
current_i: -171, current_j: 190
current_i: -162, current_j: 190
current_i: -162, current_j: 186
current_i: -171, current_j: 186
current_i: -171, current_j: 180
current_i: -164, current_j: 180
current_i: -164, current_j: 177
current_i: -152, current_j: 177
current_i: -152, current_j: 167
current_i: -147, current_j: 167
current_i: -147, current_j: 159
current_i: -141, current_j: 159
current_i: -141, current_j: 152
current_i: -131, current_j: 152
current_i: -131, current_j: 144
current_i: -125, current_j: 144
current_i: -125, current_j: 137
current_i: -121, current_j: 137
current_i: -121, current_j: 131
current_i: -116, current_j: 131
current_i: -116, current_j: 126
current_i: -107, current_j: 126
current_i: -107, current_j: 116
current_i: -95, current_j: 116
current_i: -95, current_j: 109
current_i: -90, current_j: 109
current_i: -90, current_j: 102
current_i: -84, current_j: 102
current_i: -84, current_j: 94
current_i: -96, current_j: 94
current_i: -96, current_j: 87
current_i: -101, current_j: 87
current_i: -101, current_j: 83
current_i: -107, current_j: 83
current_i: -107, current_j: 70
current_i: -105, current_j: 70
current_i: -105, current_j: 63
current_i: -97, current_j: 63
current_i: -97, current_j: 58
current_i: -95, current_j: 58
current_i: -95, current_j: 63
current_i: -88, current_j: 63
current_i: -88, current_j: 58
current_i: -83, current_j: 58
current_i: -83, current_j: 56
current_i: -77, current_j: 56
current_i: -77, current_j: 44
current_i: -75, current_j: 44
current_i: -75, current_j: 37
current_i: -70, current_j: 37
current_i: -70, current_j: 35
current_i: -61, current_j: 35
current_i: -61, current_j: 23
current_i: -58, current_j: 23
current_i: -58, current_j: 28
current_i: -52, current_j: 28
current_i: -52, current_j: 30
current_i: -46, current_j: 30
current_i: -46, current_j: 43
current_i: -37, current_j: 43
current_i: -37, current_j: 48
current_i: -34, current_j: 48
current_i: -34, current_j: 55
current_i: -30, current_j: 55
current_i: -30, current_j: 64
current_i: -22, current_j: 64
current_i: -22, current_j: 66
current_i: -30, current_j: 66
current_i: -30, current_j: 75
current_i: -23, current_j: 75
current_i: -23, current_j: 82
current_i: -26, current_j: 82
current_i: -26, current_j: 87
current_i: -34, current_j: 87
current_i: -34, current_j: 96
current_i: -44, current_j: 96
current_i: -44, current_j: 87
current_i: -50, current_j: 87
current_i: -50, current_j: 96
current_i: -55, current_j: 96
current_i: -55, current_j: 104
current_i: -52, current_j: 104
current_i: -52, current_j: 112
current_i: -42, current_j: 112
current_i: -42, current_j: 104
current_i: -35, current_j: 104
current_i: -35, current_j: 109
current_i: -26, current_j: 109
current_i: -26, current_j: 114
current_i: -23, current_j: 114
current_i: -23, current_j: 122
current_i: -32, current_j: 122
current_i: -32, current_j: 134
current_i: -40, current_j: 134
current_i: -40, current_j: 138
current_i: -45, current_j: 138
current_i: -45, current_j: 144
current_i: -50, current_j: 144
current_i: -50, current_j: 136
current_i: -54, current_j: 136
current_i: -54, current_j: 131
current_i: -50, current_j: 131
current_i: -50, current_j: 127
current_i: -58, current_j: 127
current_i: -58, current_j: 134
current_i: -69, current_j: 134
current_i: -69, current_j: 138
current_i: -58, current_j: 138
current_i: -58, current_j: 144
current_i: -64, current_j: 144
current_i: -64, current_j: 154
current_i: -58, current_j: 154
current_i: -58, current_j: 159
current_i: -71, current_j: 159
current_i: -71, current_j: 165
current_i: -58, current_j: 165
current_i: -58, current_j: 168
current_i: -53, current_j: 168
current_i: -53, current_j: 165
current_i: -48, current_j: 165
current_i: -48, current_j: 160
current_i: -53, current_j: 160
current_i: -53, current_j: 154
current_i: -45, current_j: 154
current_i: -45, current_j: 158
current_i: -40, current_j: 158
current_i: -40, current_j: 161
current_i: -32, current_j: 161
current_i: -32, current_j: 168
current_i: -23, current_j: 168
current_i: -23, current_j: 179
current_i: -27, current_j: 179
current_i: -27, current_j: 181
current_i: -33, current_j: 181
current_i: -33, current_j: 173
current_i: -39, current_j: 173
current_i: -39, current_j: 181
current_i: -48, current_j: 181
current_i: -48, current_j: 186
current_i: -42, current_j: 186
current_i: -42, current_j: 189
current_i: -29, current_j: 189
current_i: -29, current_j: 191
current_i: -23, current_j: 191
current_i: -23, current_j: 200
current_i: -16, current_j: 200
current_i: -16, current_j: 195
current_i: -9, current_j: 195
current_i: -9, current_j: 189
current_i: -16, current_j: 189
current_i: -16, current_j: 184
current_i: -9, current_j: 184
current_i: -9, current_j: 178
current_i: -4, current_j: 178
current_i: -4, current_j: 182
current_i: 4, current_j: 182
current_i: 4, current_j: 178
current_i: 10, current_j: 178
current_i: 10, current_j: 174
current_i: -1, current_j: 174
current_i: -1, current_j: 167
current_i: -7, current_j: 167
current_i: -7, current_j: 164
current_i: -12, current_j: 164
current_i: -12, current_j: 157
current_i: -6, current_j: 157
current_i: -6, current_j: 149
current_i: -1, current_j: 149
current_i: -1, current_j: 159
current_i: 4, current_j: 159
current_i: 4, current_j: 149
current_i: 8, current_j: 149
current_i: 8, current_j: 141
current_i: 11, current_j: 141
current_i: 11, current_j: 146
current_i: 24, current_j: 146
current_i: 24, current_j: 141
current_i: 36, current_j: 141
current_i: 36, current_j: 149
current_i: 48, current_j: 149
current_i: 48, current_j: 144
current_i: 61, current_j: 144
current_i: 61, current_j: 138
current_i: 48, current_j: 138
current_i: 48, current_j: 131
current_i: 46, current_j: 131
current_i: 46, current_j: 125
current_i: 43, current_j: 125
current_i: 43, current_j: 116
current_i: 31, current_j: 116
current_i: 31, current_j: 125
current_i: 19, current_j: 125
current_i: 19, current_j: 123
current_i: 10, current_j: 123
current_i: 10, current_j: 115
current_i: 6, current_j: 115
current_i: 6, current_j: 108
current_i: 3, current_j: 108
current_i: 3, current_j: 119
current_i: -5, current_j: 119
current_i: -5, current_j: 108
current_i: -9, current_j: 108
current_i: -9, current_j: 102
current_i: -4, current_j: 102
current_i: -4, current_j: 98
current_i: 0, current_j: 98
current_i: 0, current_j: 102
current_i: 6, current_j: 102
current_i: 6, current_j: 95
current_i: -1, current_j: 95
current_i: -1, current_j: 93
current_i: -12, current_j: 93
current_i: -12, current_j: 87
current_i: -2, current_j: 87
current_i: -2, current_j: 79
current_i: 7, current_j: 79
current_i: 7, current_j: 67
current_i: 11, current_j: 67
current_i: 11, current_j: 61
current_i: -2, current_j: 61
current_i: -2, current_j: 55
current_i: 10, current_j: 55
current_i: 10, current_j: 46
current_i: 20, current_j: 46
current_i: 20, current_j: 49
current_i: 26, current_j: 49
current_i: 26, current_j: 62
current_i: 20, current_j: 62
current_i: 20, current_j: 70
current_i: 31, current_j: 70
current_i: 31, current_j: 67
current_i: 36, current_j: 67
current_i: 36, current_j: 61
current_i: 30, current_j: 61
current_i: 30, current_j: 58
current_i: 36, current_j: 58
current_i: 36, current_j: 52
current_i: 31, current_j: 52
current_i: 31, current_j: 46
current_i: 38, current_j: 46
current_i: 38, current_j: 40
current_i: 34, current_j: 40
current_i: 34, current_j: 32
current_i: 28, current_j: 32
current_i: 28, current_j: 26
current_i: 32, current_j: 26
current_i: 32, current_j: 19
current_i: 38, current_j: 19
current_i: 38, current_j: 8
current_i: 31, current_j: 8
current_i: 31, current_j: 4
current_i: 25, current_j: 4
current_i: 25, current_j: 11
current_i: 19, current_j: 11
current_i: 19, current_j: 4
current_i: 10, current_j: 4
current_i: 10, current_j: 0
current_i: 0, current_j: 0
....................................................................................................................................................................................................................................#####......................................
....................................................................................................................................................................................................................................#...#......................................
....................................................................................................................................................................................................................................#...#......................................
....................................................................................................................................................................................................................................#...#......................................
.............................................................................................................................................................................................................................########...#########..............................
.............................................................................................................................................................................................................................#..................#..............................
.............................................................................................................................................................................................................................#..................#..............................
.............................................................................................................................................................................................................................#..................#..............................
.............................................................................................................................................................................................................................#..................#..............................
.............................................................................................................................................................................................................................#..................####...........................
.............................................................................................................................................................................................................................#.....................#...........................
...........................................................................................................................................................................####......................................#########.....................#...........................
...........................................................................................................................................................................#..#......................................#.............................#...........................
...........................................................................................................................................................................#..#......................................#.............................#...........................
...........................................................................................................................................................................#..#......................................#.............................#...........................
...........................................................................................................................................................................#..#......................................#.............................#...........................
...........................................................................................................................................................................#..######.................................#.............................#...........................
...........................................................................................................................................................................#.......#.................................#.............................######......................
...........................................................................................................................................................................#.......#.................................#..................................#......................
...................................................................................................................................................................#########.......#..............................####..................................#......................
...................................................................................................................................................................#...............#..............................#.....................................#......................
...................................................................................................................................................................#...............#..............................#.....................................#......................
...................................................................................................................................................................#...............#..............................#.....................................##########.............
...................................................................................................................................................................#...............#####..........................#..............................................#.............
.............................................................................................................................................................#######...................#........................###..............................................#.............
.............................................................................................................................................................#.........................#........................#............................................#####.............
.............................................................................................................................................................#.........................#........................#............................................#.................
.............................................................................................................................................................#.........................#................#########............................................#.................
.............................................................................................................................................................#.........................#................#....................................................#.................
.............................................................................................................................................................#.........................#................#....................................................#.................
.............................................................................................................................................................#.........................###..............#....................................................#.................
.............................................................................................................................................................######....#######...........#..............#....................................................#.................
..................................................................................................................................................................#....#.....#...........#..............#....................................................#.................
..................................................................................................................................................................#....#.....#...........#..............########.............................................#.................
..................................................................................................................................................................#....#.....#...........#.....................#.............................................#.................
..................................................................................................................................................................#....#.....####........#########.............#............................########.....#####.................
..................................................................................................................................................................######........#................#.............#............................#......#.....#.....................
................................................................................................................................................................................#................#......########............................#......#.....#.....................
................................................................................................................................................................................#................#......#...................................#......#.....#.....................
................................................................................................................................................................................#................#......#...................................#......#.....#.....................
............................................................................................................................................................................#####................#......#...................................#......#######.....................
............................................................................................................................................................................#....................########...................................#..................................
............................................................................................................................................................................#.........................................................#######..................................
.........................................................................................................................................................................####.........................................................#........................................
.........................................................................................................................................................................#............................................................#........................................
.........................................................................................................................................................................#............................................................#........................................
.........................................................................................................................................................................#............................................................#############............................
.........................................................................................................................................................................#........................................................................#............................
.............................................................................................................................................................#############........................................................................#............................
.............................................................................................................................................................#....................................................................................#............................
.............................................................................................................................................................#....................................................................................#............................
.............................................................................................................................................................#######..............................................................................#............................
...................................................................................................................................................................#..............................................................................#............................
...................................................................................................................................................................#..............................................................................#............................
...................................................................................................................................................................#..............................................................................#............................
...................................................................................................................................................................######............#######.......#########.........#########........#############............................
........................................................................................................................................................................#............#.....#.......#.......#.........#.......#........#........................................
........................................................................................................................................................................#............#.....#.......#.......#.........#.......#........#........................................
........................................................................................................................................................................#............#.....#.......#.......#.......###.......#........#........................................
........................................................................................................................................................................#............#.....#.......#.......#.......#.........#........#........................................
........................................................................................................................................................................#.....########.....#.......#.......######..#.........#........#........................................
........................................................................................................................................................................#.....#............#.......#............#..#.........#........#........................................
........................................................................................................................................................................#.....#............#.......#............#..#.......###........######...................................
........................................................................................................................................................................#.....#............#.......#............#..#.......#...............#...................................
........................................................................................................................................................................#.....#............#.......#.......######..#.......#...............#...................................
........................................................................................................................................................................#.....#............#########.......#.......#.......#...............#...................................
........................................................................................................................................................................#.....#............................#.......#.......#...............#...................................
........................................................................................................................................................................#######............................#.......#.......#...............#######.............................
...........................................................................................................................................................................................................#.......#.......#.....................#.............................
...........................................................................................................................................................................................................#.......#...#####.....................#.............................
...........................................................................................................................................................................................................#.......#...#.........................#.............................
...........................................................................................................................................................................................................#########...#.........................#.............................
.......................................................................................................................................................................................................................#.........................#.............................
.......................................................................................................................................................................................................................#.........................#.............................
.......................................................................................................................................................................................................................#.........................######........................
.......................................................................................................................................................................................................................#..............................#........................
.......................................................................................................................................................................................................................#..............................#........................
.......................................................................................................................................................................................................................#..............................#........................
.......................................................................................................................................................................................................................#..............................#........................
................................................................................................................................................................................................................########..............................#........................
................................................................................................................................................................................................................#.....................................#........................
................................................................................................................................................................................................................#.....................................#........................
................................................................................................................................................................................................................#.....................................#........................
................................................................................................................................................................................................................#.....................................#........................
................................................................................................................................................................................................................#.....................................#........................
................................................................................................................................................................................................................#.....................................############.............
................................................................................................................................................................................................................#................................................#.............
................................................................................................................................................................................................................#................................................#.............
......................................................................................................................................................................................................###########..................................#####......####.............
......................................................................................................................................................................................................#............................................#...#......#................
......................................................................................................................................................................................................#............................................#...#......#................
......................................................................................................................................................................................................#............................................#...#......#................
..............................................................................................................................................................................##########.......########............................................#...#......#................
..............................................................................................................................................................................#........#.......#...................................................#...#......#................
..............................................................................................................................................................................#........#.......#...................................................#...#......#................
..............................................................................................................................................................................#........#.......#...................................................#...#......#................
..............................................................................................................................................................................#........#.......#...............................................#####...#......#................
